tipo_inmueble,valor_venta,area,nro_cuartos,nro_banos,nro_garajes,zona,barrio,nombre_comun_barrio
Apartamento,385000000,100.0,3,2,1.0,Chapinero,ALFONSO LOPEZ,GALERIAS
Apartamento,190810000,34.0,1,2,1.0,Norte,EL CODITO,EL REDIL
Apartamento,720000000,157.0,3,4,2.0,Noroccidente,NIZA SUBA,Cerros De Niza
Casa,1018660600,173.0,3,4,1.0,Otros,,
Apartamento,1850000000,190.0,3,4,2.0,Norte,CERROS DE LOS ALPES,CERROS DE LOS ALPES
Apartamento,210000000,52.0,3,1,1.0,Noroccidente,GILMAR,COLINA GILMAR
Apartamento,700000000,104.0,2,3,2.0,Norte,CHICO NORTE III,CHICO NORTE III
Apartamento,4385120000,354.0,4,5,4.0,Norte,EL REFUGIO,EL REFUGIO
Apartamento,356208095,49.72,2,2,1.0,Chapinero,BANCO CENTRAL,Galerias
Apartamento,1900000000,0.0,4,4,4.0,Norte,SANTA BIBIANA,Chicó Navarra
Apartamento,370000000,64.0,2,2,1.0,Norte,SAN PATRICIO,SAN PATRICIO
Casa,1380000000,345.0,4,5,4.0,Noroccidente,SUBA NARANJOS,SUBA
Apartamento,2880000000,192.0,3,4,3.0,Norte,CHICO NORTE,CHICO
Apartamento,990000000,188.0,3,4,4.0,Norte,CHICO NORTE III,CHICO NORTE III
Apartamento,3200000000,185.0,3,4,2.0,Norte,CHICO NORTE,CHICO
Apartamento,470000000,77.0,3,2,1.0,Occidental,LA ESPERANZA NORTE,Ciudad Salitre Occidental
Apartamento,460000000,104.0,2,2,1.0,Norte,SANTA BARBARA CENTRAL,SANTA BARBARA CENTRAL
Apartamento,895000000,106.0,2,3,2.0,Norte,ANTIGUO COUNTRY,ANTIGUO CONTRY
Apartamento,1390000000,206.0,3,3,4.0,Norte,EL REFUGIO,ALTOS DEL REFUGIO
Casa,650000000,195.0,2,3,2.0,Norte,CEDRITOS,EL CONTADOR
Apartamento,890000000,147.0,3,4,2.0,Norte,CERROS DE LOS ALPES,CERRO DE LOS ALPES
Apartamento,650000000,140.0,3,3,2.0,Norte,EL SALITRE,SALITRE GRECO
Apartamento,650000000,124.0,2,3,2.0,,COLINA CAMPESTRE,COLINA CAMPESTRE
Apartamento,540000000,108.0,4,3,2.0,Norte,MOLINOS NORTE,Santa Bárbara
Apartamento,290000000,0.0,3,2,1.0,Occidental,EL VERGEL OCCIDENTAL,ANDALUCIA
Apartamento,470000000,74.0,2,2,1.0,Norte,LOS CEDROS,CEDRITOS
Apartamento,320000000,62.0,3,2,1.0,Occidental,VILLA ALSACIA,CIUDAD VILLA ALSACIA
Apartamento,570000000,0.0,3,3,2.0,Norte,SANTA BARBARA OCCIDENTAL,Santa Barbara Occidental-Usaquén
Apartamento,1500000000,234.0,5,4,3.0,Norte,SAN PATRICIO,San Patricio-Usaquén
Apartamento,1600000000,208.0,3,5,2.0,Norte,BOSQUE DE PINOS,Bosque de Pinos-Usaquén
